@default,Country,Identity,,,,,,,Character,Character,Character,Character,Year,Month,SexagenaryCycle,Day,Year,Month,SexagenaryCycle,Day
Id,國家,身份,姓,名,全名,別名,字,姓別,父,母,養父,養母,出生年,出生月,出生干支日,出生日,死亡年,死亡月,死亡干支日,死亡日,存疑
int,int,int,string,string,string,string[],string,int,int,int,int[],int[],int,int,int,int,int,int,int,int,string[]
id,country,identity,family,name,fullName,alias,styleName,sex,father,mother,fosterFather,fosterMother,birthYear,birthMonth,birthSexagenaryCycle,birthDay,deathYear,deathMonth,deathSexagenaryCycle,deathDay,unansweredQuestion
100110001,1001,1,,"盤古","盤古",,,1
100110002,1001,1,,"天皇","天皇",,,1
100110003,1001,1,,"地皇","地皇",,,1
100110004,1001,1,,"人皇","人皇",,,1
100110005,1001,1,,"有巢","有巢",,,1
100110006,1001,1,,"燧人","燧人",,,1
100110007,1001,1,,"伏羲","伏羲",,,1
100110008,1001,1,,"神農","神農","炎帝",,1
100190011,1001,9,,"女媧","女媧",,,2
100210001,1002,1,"公孫","軒轅","公孫軒轅","黃帝",,1
200110017,2001,1,,"履癸","履癸",,,1,200110016
200210001,2002,1,"子","契","子契",,,1,100210004
200210002,2002,1,,"昭明","昭明",,,1,200210001
200210003,2002,1,,"相土","相土",,,1,200210002
200210004,2002,1,,"昌若","昌若",,,1,200210003
200210005,2002,1,,"曹圉","曹圉",,,1,200210004
200210006,2002,1,,"冥","冥",,,1,200210005
200210007,2002,1,,"振","振",,,1,200210006
200210008,2002,1,,"微","微",,,1,200210007
200210009,2002,1,,"報丁","報丁",,,1,200210008
200210010,2002,1,,"報乙","報乙",,,1,200210009
200210011,2002,1,,"報丙","報丙",,,1,200210010
200210012,2002,1,,"主壬","主壬",,,1,200210011
200210013,2002,1,,"主癸","主癸",,,1,200210012
200220001,2002,2,"姬","棄","姬棄",,,1,100210004
200220002,2002,2,"姬","不窋","姬不窋",,,1,200220001
300110001,3001,1,,"成湯","成湯","天乙",,1,200210013
300110002,3001,1,,"外丙","外丙",,,1,300110001
300110003,3001,1,,"中壬","中壬",,,1,300110001
300110004,3001,1,,"太甲","太甲",,,1,
300110005,3001,1,,"沃丁","沃丁",,,1,300110004
300110006,3001,1,,"太庚","太庚",,,1,300110004
300110007,3001,1,,"小甲","小甲",,,1,300110006
300110008,3001,1,,"雍己","雍己",,,1,300110006
300110009,3001,1,,"太戊","太戊",,,1,300110006
300110010,3001,1,,"中丁","中丁",,,1,300110009
300110011,3001,1,,"外壬","外壬",,,1,300110009
300110012,3001,1,,"河亶甲","河亶甲",,,1,300110009
300110013,3001,1,,"祖乙","祖乙",,,1,300110012
300110014,3001,1,,"祖辛","祖辛",,,1,300110013
300110015,3001,1,,"沃甲","沃甲",,,1,300110013
300110016,3001,1,,"祖丁","祖丁",,,1,300110014
300110017,3001,1,,"南庚","南庚",,,1,300110015
300110018,3001,1,,"陽甲","陽甲",,,1,300110016
300110019,3001,1,,"盤庚","盤庚",,,1,300110016
300110020,3001,1,,"小辛","小辛",,,1,300110016
300110021,3001,1,,"小乙","小乙",,,1,300110016
300110022,3001,1,,"武丁","武丁",,,1,300110021
300110023,3001,1,,"祖庚","祖庚",,,1,300110022
300110024,3001,1,,"祖甲","祖甲",,,1,300110022
300110025,3001,1,,"廩辛","廩辛",,,1,300110024
300110026,3001,1,,"庚丁","庚丁",,,1,300110024
300110027,3001,1,,"武乙","武乙",,,1,300110026
300110028,3001,1,,"太丁","太丁",,,1,300110027
300110029,3001,1,,"乙","乙",,,1,300110028
300110030,3001,1,,"辛","辛","紂",,1,300110029
300150001,3001,5,,"伯夷","伯夷",,,1
300150002,3001,5,,"叔齊","叔齊",,,1
300210001,3002,1,"姬","鞠","姬鞠",,,1,200220002
300210002,3002,1,"姬","公劉","姬公劉",,,1,300210001
300210003,3002,1,"姬","慶節","姬慶節",,,1,300210002
300210004,3002,1,"姬","皇僕","姬皇僕",,,1,300210003
300210005,3002,1,"姬","差弗","姬差弗",,,1,300210004
300210006,3002,1,"姬","毀隃","姬毀隃",,,1,300210005
300210007,3002,1,"姬","公非","姬公非",,,1,300210006
300210008,3002,1,"姬","髙圉","姬髙圉",,,1,300210007
300210009,3002,1,"姬","亞圉","姬亞圉",,,1,300210008
300210010,3002,1,"姬","公孫祖類","姬公孫祖類",,,1,300210009
300210011,3002,1,"姬","古公亶父","姬古公亶父",,,1,300210010
300210012,3002,1,"姬","季歷","姬季歷",,,1,300210011
300210013,3002,1,"姬","昌","姬昌","西伯",,1,300210012
300310001,3003,1,,"太伯","太伯",,,1,300210011
300310002,3003,1,,"仲雍","仲雍",,,1,300210011
300310003,3003,1,,"季簡","季簡",,,1,300310002
300310004,3003,1,,"叔達","叔達",,,1,300310003
400110001,4001,1,"姬","發","姬發",,,1,300210013
400110002,4001,1,"姬","誦","姬誦",,,1,400110001
400110003,4001,1,"姬","釗","姬釗",,,1,400110002
400110004,4001,1,"姬","瑕","姬瑕",,,1,400110003
400110005,4001,1,"姬","滿","姬滿",,,1,400110004
400110006,4001,1,"姬","繄扈","姬繄扈",,,1,400110005
400110007,4001,1,"姬","囏","姬囏",,,1,400110006
400110008,4001,1,"姬","辟方","姬辟方",,,1,400110005
400110009,4001,1,"姬","燮","姬燮",,,1,400110007
400110010,4001,1,"姬","胡","姬胡",,,1,400110009,,,,,,,,-828
400110011,4001,1,"姬","靜","姬靜",,,1,400110010,,,,,,,,-782
400110012,4001,1,"姬","宮湦","姬宮湦",,,1,400110011,,,,,,,,-771
400210001,4002,1,"姬","宜臼","姬宜臼",,,1,400110012,,,,,,,,-720
400210002,4002,1,"姬","林","姬林",,,1,,,,,,,,,-697
400210003,4002,1,"姬","佗","姬佗",,,1,400210002,,,,,,,,-682
400210004,4002,1,"姬","胡齊","姬胡齊",,,1,400210003,,,,,,,,-677
400210005,4002,1,"姬","閬","姬閬",,,1,400210004,,,,,,,,-652
400210006,4002,1,"姬","鄭","姬鄭",,,1,400210005,,,,,,,,-619
400210007,4002,1,"姬","壬臣","姬壬臣",,,1,400210006,,,,,,,,-613
400210008,4002,1,"姬","班","姬班",,,1,400210007,,,,,,,,-607
400210009,4002,1,"姬","瑜","姬瑜",,,1,400210007,,,,,,,,-586
400210010,4002,1,"姬","夷","姬夷",,,1,400210009,,,,,,,,-572
400210011,4002,1,"姬","泄心","姬泄心",,,1,400210010,,,,,,,,-545
400210012,4002,1,"姬","貴","姬貴",,,1,400210011,,,,,,,,-520
400210013,4002,1,"姬","猛","姬猛",,,1,400210012,,,,,,,,-520
400210014,4002,1,"姬","丐","姬丐",,,1,400210012,,,,,,,,-476
400210015,4002,1,"姬","仁","姬仁",,,1,400210014,,,,,,,,-469
400210016,4002,1,"姬","介","姬介",,,1,400210015,,,,,,,,-441
400210017,4002,1,"姬","去疾","姬去疾",,,1,400210016,,,,,,,,-441
400210018,4002,1,"姬","叔","姬叔",,,1,400210016,,,,,,,,-441
400210019,4002,1,"姬","嵬","姬嵬",,,1,400210016,,,,,,,,-426
400210020,4002,1,"姬","午","姬午",,,1,400210019,,,,,,,,-402
400210021,4002,1,"姬","驕","姬驕",,,1,400210020,,,,,,,,-376
400210022,4002,1,"姬","喜","姬喜",,,1,400210021,,,,,,,,-369
400210023,4002,1,"姬","扁","姬扁",,,1,400210021,,,,,,,,-321
400210024,4002,1,"姬","定","姬定",,,1,400210022,,,,,,,,-315
400210025,4002,1,"姬","延","姬延",,,1,400210023,,,,,,,,-256
400230001,4002,3,"蘇","秦","蘇秦",,,1
400250001,4002,5,"李","耳","李耳","老子",,1
400250002,4002,5,"莊","周","莊周","莊子",,1
400250003,4002,5,"孟","軻","孟軻","孟子",,1
400250004,4002,5,"秦","越人","秦越人","扁鵲",,1
400250005,4002,5,"白","圭","白圭",,,1
400250006,4002,5,"尹","喜","尹喜",,,1
400250007,4002,5,"辛","銒","辛銒",,,1
400310001,4003,1,"嬴","非子","嬴非子",,,1
400310002,4003,1,"嬴",,"嬴","秦侯",,1,400310001
400310003,4003,1,"嬴","公伯","嬴公伯",,,1,400310002
400310004,4003,1,"嬴",,"嬴","秦仲",,1,400310003
400310005,4003,1,"嬴",,"嬴","莊公",,1,400310004
400310006,4003,1,"嬴",,"嬴","襄公",,1,400310005
400310007,4003,1,"嬴",,"嬴","文公",,1,400310006
400310008,4003,1,"嬴",,"嬴","寧公",,1
400310009,4003,1,"嬴",,"嬴","出子",,1,400310008
400310010,4003,1,"嬴",,"嬴","武公",,1,400310008
400310011,4003,1,"嬴",,"嬴","德公",,1,400310008
400310012,4003,1,"嬴",,"嬴","宣公",,1,400310011
400310013,4003,1,"嬴",,"嬴","成公",,1,400310011
400310014,4003,1,"嬴","任好","嬴任好","繆公",,1,400310011
400310015,4003,1,"嬴","罃","嬴罃","康公",,1,400310014
400310016,4003,1,"嬴",,"嬴","共公",,1,400310015
400310017,4003,1,"嬴",,"嬴","桓公",,1,400310016
400310018,4003,1,"嬴",,"嬴","景公",,1,400310017
400310019,4003,1,"嬴",,"嬴","哀公",,1,400310018
400310020,4003,1,"嬴",,"嬴","惠公",,1
400310021,4003,1,"嬴",,"嬴","悼公",,1,400310020
400310022,4003,1,"嬴",,"嬴","厲公",,1,400310021
400310023,4003,1,"嬴",,"嬴","躁公",,1,400310022
400310024,4003,1,"嬴",,"嬴","懷公",,1,400310022
400310025,4003,1,"嬴",,"嬴","靈公",,1
400310026,4003,1,"嬴","悼子","嬴悼子","簡公",,1,400310024
400310027,4003,1,"嬴",,"嬴","惠公",,1,400310026
400310028,4003,1,"嬴",,"嬴","出子",,1,400310027
400310029,4003,1,"嬴",,"嬴","獻公",,1,400310025
400310030,4003,1,"嬴",,"嬴","孝公",,1,400310029
400310031,4003,1,"嬴",,"嬴","惠文君",,1,400310030
400310032,4003,1,"嬴",,"嬴","武王",,1,400310031
400310033,4003,1,"嬴","稷","嬴稷","昭襄王",,1,400310031
400310034,4003,1,"嬴",,"嬴","孝文王",,1,400310033
400310035,4003,1,"嬴",,"嬴","莊襄王",,1,400310034
400320001,4003,2,"嬴","疾","嬴疾","樗里子",,1
400330001,4003,3,"商","鞅","商鞅",,,1
400330002,4003,3,"陳","軫","陳軫",,,1
400330003,4003,3,"甘","茂","甘茂",,,1
400330004,4003,3,"甘","羅","甘羅",,,1
400330005,4003,3,"魏","冉","魏冉",,,1
400330006,4003,3,"范","睢","范睢",,,1
400330007,4003,3,"蔡","澤","蔡澤",,,1
400330008,4003,3,"呂","不韋","呂不韋",,,1
400340001,4003,4,"白","起","白起",,,1
400370001,4003,7,"王","稽","王稽",,,1
400370002,4003,7,"鄭","安平","鄭安平",,,1
400370003,4003,7,"茅","焦","茅焦",,,1
400410001,4004,1,,"周章","周章",,,1,300310004
400410002,4004,1,,"熊遂","熊遂",,,1,400410001
400410003,4004,1,,"柯相","柯相",,,1,400410002
400410004,4004,1,,"彊鳩夷","彊鳩夷",,,1,400410003
400410005,4004,1,,"餘橋疑吾","餘橋疑吾",,,1,400410004
400410006,4004,1,,"柯盧","柯盧",,,1,400410005
400410007,4004,1,,"周繇","周繇",,,1,400410006
400410008,4004,1,,"屈羽","屈羽",,,1,400410007
400410009,4004,1,,"夷吾","夷吾",,,1,400410008
400410010,4004,1,,"禽處","禽處",,,1,400410009
400410011,4004,1,,"轉","轉",,,1,400410010
400410012,4004,1,,"頗髙","頗髙",,,1,400410011
400410013,4004,1,,"句卑","句卑",,,1,400410012
400410014,4004,1,,"去齊","去齊",,,1,400410013
400410015,4004,1,,"夀夢","夀夢",,,1,400410014
400410016,4004,1,,"諸樊","諸樊",,,1,400410015
400410017,4004,1,,"餘祭","餘祭",,,1,400410015
400410018,4004,1,,"餘昧","餘昧",,,1,400410015
400410019,4004,1,,"僚","僚",,,1,400410018
400410020,4004,1,,"光","光",,,1,400410016
400410021,4004,1,,"夫差","夫差",,,1,400410020
400450001,4004,5,"專","諸","專諸",,,1,
400510001,4005,1,"姜","尚","姜尚",,,1,
400510002,4005,1,"姜","伋","姜伋",,,1,400510001
400510003,4005,1,"姜","得","姜得",,,1,400510002
400510004,4005,1,"姜","慈母","姜慈母",,,1,400510003
400510005,4005,1,"姜","不辰","姜不辰",,,1,400510004
400510006,4005,1,"姜","靜","姜靜",,,1,400510004
400510007,4005,1,"姜","山","姜山",,,1,400510004
400510008,4005,1,"姜","壽","姜壽",,,1,400510007
400510009,4005,1,"姜","無忌","姜無忌",,,1,400510008
400510010,4005,1,"姜","赤","姜赤",,,1,400510009
400510011,4005,1,"姜","脫","姜脫",,,1,400510010
400510012,4005,1,"姜","購","姜購",,,1,400510011
400510013,4005,1,"姜","祿甫","姜祿甫",,,1,400510012
400510014,4005,1,"姜","諸兒","姜諸兒",,,1,400510013
400510015,4005,1,"姜","無知","姜無知",,,1,
400510016,4005,1,"姜","小白","姜小白",,,1,400510013
400510017,4005,1,"姜","昭","姜昭",,,1,400510016
400510018,4005,1,"姜","潘","姜潘",,,1,400510016
400510019,4005,1,"姜","商人","姜商人",,,1,400510016
400510020,4005,1,"姜","元","姜元",,,1,400510016
400510021,4005,1,"姜","無野","姜無野",,,1,400510020
400510022,4005,1,"姜","環","姜環",,,1,400510021
400510023,4005,1,"姜","光","姜光",,,1,400510022
400510024,4005,1,"姜","杵臼","姜杵臼",,,1,400510022
400510025,4005,1,"姜","茶","姜茶",,,1,400510024
400510026,4005,1,"姜","陽生","姜陽生",,,1,400510024
400510027,4005,1,"姜","壬","姜壬",,,1,400510026
400510028,4005,1,"姜","驁","姜驁",,,1,400510026
400510029,4005,1,"姜","積","姜積",,,1,400510028
400510030,4005,1,"姜","貨","姜貨",,,1,400510029
400530001,4005,3,"管","夷吾","管夷吾",,"仲",1,
400530002,4005,3,"晏","嬰","晏嬰",,"仲",1,
400540001,4005,4,"司馬","穰苴","司馬穰苴",,,1,
400540002,4005,4,"孫","武","孫武",,,1,
400610001,4006,1,"姬","旦","姬旦",,,1,300210013
400610002,4006,1,"姬","伯禽","姬伯禽",,,1,400610001
400610003,4006,1,"姬","酋","姬酋",,,1,400610002
400610004,4006,1,"姬","熙","姬熙",,,1,400610002
400610005,4006,1,"姬","宰","姬宰",,,1,400610004
400610006,4006,1,"姬","㵒","姬㵒",,,1,400610004
400610007,4006,1,"姬","擢","姬擢",,,1,400610006
400610008,4006,1,"姬","具","姬具",,,1,400610006
400610009,4006,1,"姬","濞","姬濞",,,1,400610008
400610010,4006,1,"姬","敖","姬敖",,,1,400610008
400610011,4006,1,"姬","戲","姬戲",,,1,400610010
400610012,4006,1,"姬","伯御","姬伯御",,,1,
400610013,4006,1,"姬","稱","姬稱",,,1,400610010
400610014,4006,1,"姬","弗湟","姬弗湟",,,1,400610013
400610015,4006,1,"姬","息","姬息",,,1,400610014
400610016,4006,1,"姬","允","姬允",,,1,400610014
400610017,4006,1,"姬","同","姬同",,,1,400610016
400610018,4006,1,"姬","開","姬開",,,1,400610017
400610019,4006,1,"姬","申","姬申",,,1,400610017
400610020,4006,1,"姬","興","姬興",,,1,400610019
400610021,4006,1,"姬","俀","姬俀",,,1,400610020
400610022,4006,1,"姬","黑肱","姬黑肱",,,1,400610021
400610023,4006,1,"姬","午","姬午",,,1,400610022
400610024,4006,1,"姬","稠","姬稠",,,1,400610023
400610025,4006,1,"姬","宋","姬宋",,,1,400610023
400610026,4006,1,"姬","將","姬將",,,1,400610025
400610027,4006,1,"姬","寧","姬寧",,,1,400610026
400610028,4006,1,"姬","嘉","姬嘉",,,1,400610027
400610029,4006,1,"姬","顯","姬顯",,,1,400610028
400610030,4006,1,"姬","奮","姬奮",,,1,400610029
400610031,4006,1,"姬","屯","姬屯",,,1,400610030
400610032,4006,1,"姬","匽","姬匽",,,1,400610031
400610033,4006,1,"姬","叔","姬叔",,,1,400610032
400610034,4006,1,"姬","賈","姬賈",,,1,400610033
400610035,4006,1,"姬","讎","姬讎",,,1,400610034
400630001,4006,3,"公儀","休","公儀休",,,1,
400640001,4006,4,"曹","沫","曹沫",,,1,
400650001,4006,5,"孔","丘","孔丘","孔子","仲尼",1,
400650002,4006,5,"顏","回","顏回",,"子淵",1,400650021
400650003,4006,5,"閔","損","閔損",,"子騫",1,
400650004,4006,5,"冉","耕","冉耕",,"伯牛",1,
400650005,4006,5,"冉","雍","冉雍",,"仲弓",1,
400650006,4006,5,"冉","求","冉求",,"子有",1,
400650007,4006,5,"仲","由","仲由",,"子路",1,
400650008,4006,5,"宰","予","宰予",,"子我",1,
400650009,4006,5,"端沐","賜","端沐賜",,"子貢",1,
400650010,4006,5,"言","偃","言偃",,"子游",1,
400650011,4006,5,"卜","商","卜商",,"子夏",1,
400650012,4006,5,"顓","孫師","顓孫師",,"子張",1,
400650013,4006,5,"曾","參","曾參",,"子與",1,
400650014,4006,5,"澹臺","滅明","澹臺滅明",,"子羽",1,
400650015,4006,5,"宓","不齊","宓不齊",,"子賤",1,
400650016,4006,5,"原","憲","原憲",,"子思",1,
400650017,4006,5,"公冶","長","公冶長",,"子長",1,
400650018,4006,5,"南宮","括","南宮括",,"子容",1,
400650019,4006,5,"公皙","哀","公皙哀",,"季次",1,
400650020,4006,5,"曾","蒧","曾蒧",,"皙",1,
400650021,4006,5,"顏","無繇","顏無繇",,"路",1,
400650022,4006,5,"商","瞿","商瞿",,"子木",1,
400650023,4006,5,"高","柴","高柴",,"子羔",1,
400650024,4006,5,"漆","彫開","漆彫開",,"子開",1,
400650025,4006,5,"公伯","繚","公伯繚",,"子周",1,
400650026,4006,5,"司馬","耕","司馬耕",,"子牛",1,
400650027,4006,5,"樊","須","樊須",,"子遲",1,
400650028,4006,5,"公","西赤","公西赤",,"子華",1,
400650029,4006,5,"梁","鱣","梁鱣",,"叔魚",1,
400650030,4006,5,"顏","幸","顏幸",,"子柳",1,
400650031,4006,5,,"盗跖","盗跖",,,1
400650032,4006,5,"左","丘明","左丘明",,,1
400710001,4007,1,"姬","奭","姬奭",,,1,
400710002,4007,1,"姬",,"姬","惠侯",,1,
400710003,4007,1,"姬",,"姬","釐侯",,1,400710002
400710004,4007,1,"姬",,"姬","頃侯",,1,400710003
400710005,4007,1,"姬",,"姬","哀侯",,1,400710004
400710006,4007,1,"姬",,"姬","鄭侯",,1,400710005
400710007,4007,1,"姬",,"姬","繆侯",,1,400710006
400710008,4007,1,"姬",,"姬","宣侯",,1,400710007
400710009,4007,1,"姬",,"姬","桓侯",,1,400710008
400710010,4007,1,"姬",,"姬","莊公",,1,400710009
400710011,4007,1,"姬",,"姬","襄公",,1,400710010
400710012,4007,1,"姬",,"姬","桓公",,1,
400710013,4007,1,"姬",,"姬","宣公",,1,
400710014,4007,1,"姬",,"姬","昭公",,1,
400710015,4007,1,"姬",,"姬","武公",,1,
400710016,4007,1,"姬",,"姬","文公",,1,
400710017,4007,1,"姬",,"姬","懿公",,1,
400710018,4007,1,"姬",,"姬","惠公",,1,400710017
400710019,4007,1,"姬",,"姬","悼公",,1,
400710020,4007,1,"姬",,"姬","共公",,1,
400710021,4007,1,"姬",,"姬","平公",,1,
400710022,4007,1,"姬",,"姬","簡公",,1,
400710023,4007,1,"姬",,"姬","獻公",,1,
400710024,4007,1,"姬",,"姬","孝公",,1,
400710025,4007,1,"姬",,"姬","成公",,1,
400710026,4007,1,"姬",,"姬","湣公",,1,
400710027,4007,1,"姬",,"姬","釐公",,1,
400710028,4007,1,"姬",,"姬","桓公",,1,
400710029,4007,1,"姬",,"姬","文公",,1,
400710030,4007,1,"姬",,"姬","易王",,1,400710029
400710031,4007,1,"姬","噲","姬噲","燕噲",,1,400710030
400710032,4007,1,"姬","平","姬平",,,1,400710031
400710033,4007,1,"姬",,"姬","惠王",,1,400710032
400710034,4007,1,"姬",,"姬","武成王",,1,400710033
400710035,4007,1,"姬",,"姬","孝王",,1,400710034
400710036,4007,1,"姬","喜","姬喜",,,1,400710035
400740001,4007,4,"樂","毅","樂毅",,,1,
400750001,4007,5,"荆","軻","荆軻",,,1,
400810001,4008,1,"姬","鮮","姬鮮","管叔鮮",,1,300210013
400910001,4009,1,"姬","度","姬度","蔡叔度",,1,300210013
400910002,4009,1,"姬","胡","姬胡","蔡仲",,1,400910001
400910003,4009,1,"姬","伯荒","姬伯荒",,,1,400910002
400910004,4009,1,"姬",,"姬","宮侯",,1,400910003
400910005,4009,1,"姬",,"姬","厲侯",,1,400910004
400910006,4009,1,"姬",,"姬","武侯",,1,400910005
400910007,4009,1,"姬",,"姬","夷侯",,1,400910006
400910008,4009,1,"姬","所事","姬所事","釐侯",,1,400910007
400910009,4009,1,"姬","興","姬興","共侯",,1,400910008
400910010,4009,1,"姬",,"姬","戴侯",,1,400910009
400910011,4009,1,"姬","措父","姬措父","宣侯",,1,400910010
400910012,4009,1,"姬","封人","姬封人","桓侯",,1,400910011
400910013,4009,1,"姬","獻舞","姬獻舞","哀侯",,1,400910011
400910014,4009,1,"姬","肸","姬肸","繆侯",,1,400910013
400910015,4009,1,"姬","甲午","姬甲午","莊侯",,1,400910014
400910016,4009,1,"姬","申","姬申","文侯",,1,400910015
400910017,4009,1,"姬","固","姬固","景侯",,1,400910016
400910018,4009,1,"姬","般","姬般","靈侯",,1,400910017
400910019,4009,1,"姬","盧","姬盧","平侯",,1,400910017
400910020,4009,1,"姬","東國","姬東國","悼侯",,1,
400910021,4009,1,"姬","申","姬申","昭侯",,1,
400910022,4009,1,"姬","朔","姬朔","成侯",,1,400910021
400910023,4009,1,"姬","產","姬產","聲侯",,1,400910022
400910024,4009,1,"姬",,"姬","元侯",,1,400910023
400910025,4009,1,"姬",,"姬","侯齊",,1,400910024
401010001,4010,1,"媯","滿","媯滿","胡公",,1,
401010002,4010,1,"媯","犀侯","媯犀侯","申公",,1,401010001
401010003,4010,1,"媯","皋羊","媯皋羊","相公",,1,401010001
401010004,4010,1,"媯","突","媯突","孝公",,1,401010002
401010005,4010,1,"媯","圉戎","媯圉戎","慎公",,1,401010004
401010006,4010,1,"媯","寧","媯寧","幽公",,1,401010005
401010007,4010,1,"媯","孝","媯孝","釐公",,1,401010006
401010008,4010,1,"媯","靈","媯靈","武公",,1,401010007
401010009,4010,1,"媯","說","媯說","夷公",,1,401010008
401010010,4010,1,"媯","燮","媯燮","平公",,1,401010008
401010011,4010,1,"媯","圉","媯圉","文公",,1,401010010
401010012,4010,1,"媯","鮑","媯鮑","桓公",,1,401010011
401010013,4010,1,"媯","佗","媯佗","厲公",,1,401010011
401010014,4010,1,"媯","躍","媯躍","利公",,1,401010011
401010015,4010,1,"媯","林","媯林","莊公",,1,401010011
401010016,4010,1,"媯","杵臼","媯杵臼","宣公",,1,401010011
401010017,4010,1,"媯","款","媯款","穆公",,1,401010016
401010018,4010,1,"媯","朔","媯朔","共公",,1,401010017
401010019,4010,1,"媯","平國","媯平國","靈公",,1,401010018
401010020,4010,1,"媯","午","媯午","成公",,1,401010019
401010021,4010,1,"媯","弱","媯弱","哀公",,1,401010020
401010022,4010,1,"媯","吳","媯吳","惠公",,1,
401010023,4010,1,"媯","柳","媯柳","懷公",,1,401010022
401010024,4010,1,"媯","越","媯越","湣公",,1,401010023
401110001,4011,1,,,"","東樓公",,1,
401110002,4011,1,,,"","西樓公",,1,401110001
401110003,4011,1,,,"","題公",,1,401110002
401110004,4011,1,,,"","謀娶公",,1,401110003
401110005,4011,1,,,"","武公",,1,401110004
401110006,4011,1,,,"","靖公",,1,401110005
401110007,4011,1,,,"","共公",,1,401110006
401110008,4011,1,,,"","德公",,1,401110007
401110009,4011,1,,"姑容","姑容","桓公",,1,401110007
401110010,4011,1,,"匄","匄","孝公",,1,401110009
401110011,4011,1,,"益姑","益姑","文公",,1,401110009
401110012,4011,1,,"鬱","鬱","平公",,1,401110009
401110013,4011,1,,"成","成","悼公",,1,401110012
401110014,4011,1,,"乞","乞","隱公",,1,401110013
401110015,4011,1,,"遂","遂","釐公",,1,401110013
401110016,4011,1,,"維","維","湣公",,1,401110015
401110017,4011,1,,"閼路","閼路","哀公",,1,401110015
401110018,4011,1,,"敕","敕","出公",,1,401110016
401110019,4011,1,,"春","春","簡公",,1,401110018
401210001,4012,1,"姬","封","姬封","康叔",,1,300210013
401210002,4012,1,"姬",,"姬","康伯",,1,401210001
401210003,4012,1,"姬",,"姬","考伯",,1,401210002
401210004,4012,1,"姬",,"姬","嗣伯",,1,401210003
401210005,4012,1,"姬",,"姬","摯伯",,1,401210004
401210006,4012,1,"姬",,"姬","靖伯",,1,401210005
401210007,4012,1,"姬",,"姬","貞伯",,1,401210006
401210008,4012,1,"姬",,"姬","頃侯",,1,401210007
401210009,4012,1,"姬",,"姬","釐侯",,1,401210008
401210010,4012,1,"姬","餘","姬餘","共伯",,1,401210009
401210011,4012,1,"姬","和","姬和","武公",,1,401210009
401210012,4012,1,"姬","揚","姬揚","莊公",,1,401210011
401210013,4012,1,"姬","完","姬完","桓公",,1,401210012
401210014,4012,1,"姬","晉","姬晉","宣公",,1,401210012
401210015,4012,1,"姬","朔","姬朔","惠公",,1,401210014
401210016,4012,1,"姬","黔牟","姬黔牟",,,1,
401210017,4012,1,"姬","赤","姬赤","懿公",,1,401210015
401210018,4012,1,"姬","申","姬申","戴公",,1,
401210019,4012,1,"姬","燬","姬燬","文公",,1,
401210020,4012,1,"姬","鄭","姬鄭","成公",,1,401210019
401210021,4012,1,"姬","遫","姬遫","穆公",,1,401210020
401210022,4012,1,"姬","臧","姬臧","定公",,1,401210021
401210023,4012,1,"姬","衎","姬衎","獻公",,1,401210022
401210024,4012,1,"姬","秋","姬秋","殤公",,1,401210021
401210025,4012,1,"姬","惡","姬惡","襄公",,1,401210023
